nom_hotel,titre_commentaire,commentaire,date_publication,pays_utilisateur,type_logement_utilisateur,duree_passé,situation_utilisateur
Bangkok Cozy Home @Khaosan Road,Bien,Ce client n'a pas laissé de commentaire.,28 juin 2024,Espagne,Chambre Double avec Salle de Bains Privative,2 nuits ·,Groupe
Bangkok Cozy Home @Khaosan Road,Exceptionnel,Ce client n'a pas laissé de commentaire.,28 juin 2024,Royaume-Uni,Chambre Double avec Salle de Bains Privative,2 nuits ·,Couple
Bangkok Cozy Home @Khaosan Road,"Super supportive staff, received us even late in night check in, upon request though","Breakfast is simple & decent
The location is prime and super convenient",27 juin 2024,Inde,Chambre Double avec Salle de Bains Privative,1 nuit ·,Couple
Bangkok Cozy Home @Khaosan Road,Très bien,Ce client n'a pas laissé de commentaire.,27 juin 2024,Australie,Chambre Familiale avec Salle de Bains Privative,1 nuit ·,Groupe
Bangkok Cozy Home @Khaosan Road,It was very good and I would recommend for travellers doing Asia cheaply.,It was convenient and staff were very friendly. Breakfast was very handy as well,26 juin 2024,Irlande,Chambre Familiale avec Salle de Bains Privative,2 nuits ·,Groupe
Bangkok Cozy Home @Khaosan Road,"Will rate 1/10 multiple leakage problem, unfair business practices",WIFI Coverage is good,25 juin 2024,Inde,Chambre Double avec Salle de Bains Privative,7 nuits ·,Voyageur individuel
Bangkok Cozy Home @Khaosan Road,Adecuado para 2 noches,"Lo mejor es la posicion, cerca del palacio real y buda reclinado. A 5 min de la calle de bares y restaurantes. Además, la cocina comunitaria está muy bien si viajas con niños, y el aire aconcionado esta genial.El personal muy amable.",25 juin 2024,Espagne,Chambre Familiale avec Salle de Bains Privative,3 nuits ·,Famille
Bangkok Cozy Home @Khaosan Road,"Stayed for a night in a double ensuit room, very comfortable perfect location great staff.","The hotel was very central, easy walk to khoasan road and lots  of restaurants and very close to lots of temples. The rooms are very comfortable and staff were very friendly.",25 juin 2024,Royaume-Uni,Chambre Double avec Salle de Bains Privative,1 nuit ·,Groupe
Bangkok Cozy Home @Khaosan Road,Passable,Ce client n'a pas laissé de commentaire.,25 juin 2024,Royaume-Uni,Chambre Lits Jumeaux avec Salle de Bains Privative,3 nuits ·,Groupe
Bangkok Cozy Home @Khaosan Road,Exceptionnel,Ce client n'a pas laissé de commentaire.,24 juin 2024,France,Chambre Double avec Salle de Bains Privative,1 nuit ·,Couple
Atlas Bangkok Hotel,Très bien,"Địa điểm thuận tiện, gần BTS Nana",28 juin 2024,Vietnam,Chambre Familiale Standard,3 nuits ·,Groupe
Atlas Bangkok Hotel,Très bien,Ce client n'a pas laissé de commentaire.,28 juin 2024,Royaume-Uni,Chambre Double Supérieure,3 nuits ·,Voyageur individuel
Atlas Bangkok Hotel,Divertente x i bar,La logistica posizione strategica,27 juin 2024,Italie,Chambre Double Standard,1 nuit ·,Voyageur individuel
Atlas Bangkok Hotel,Bien,"Habitación sencilla, muy limpia y con todo  lo necesario para estar. A pocos pasos de Nana BTS. 
Nota.- Calle de bares para tomar algo, menos en el Cat’s Bar donde el trago vale lo mismo que en un Gogo Bar (o yo fui estúpido al no preguntar el precio).",24 juin 2024,Argentine,Chambre Double Supérieure,1 nuit ·,Voyageur individuel
Atlas Bangkok Hotel,Exceptionnel,Ce client n'a pas laissé de commentaire.,22 juin 2024,Qatar,Chambre Double Standard,2 nuits ·,Couple
Atlas Bangkok Hotel,Très bien,L'hôtel est situé au pied du métro Nana. Ce qui simplifie les déplacements dans Bangkok. Le personnel est très courtois et parle anglais au besoin.,21 juin 2024,France,Chambre Double Supérieure,2 nuits ·,Voyageur individuel
Atlas Bangkok Hotel,Décevant,Ce client n'a pas laissé de commentaire.,20 juin 2024,Émirats arabes unis,Chambre Lits Jumeaux Standard,2 nuits ·,Couple
Atlas Bangkok Hotel,Très bien,Ce client n'a pas laissé de commentaire.,17 juin 2024,France,Chambre Double Supérieure,3 nuits ·,Voyageur individuel
Atlas Bangkok Hotel,Bien,Nice location,17 juin 2024,Vietnam,Chambre Familiale Standard,3 nuits ·,Groupe
